,"Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes"
"Chile","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"China","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Colombia","1500 [1000–2400]","1400 [980–2300]","1700 [1200–2500]","2000 [1400–3000]","2400 [1500–3900]","2300 [1400–3700]","2300 [1500–3400]","2500 [1600–3700]","2900 [1800–4300]","3300 [2100–4700]","3800 [2500–5300]","4700 [3300–6300]","6000 [4300–8000]","6500 [4700–8600]","6000 [4200–8300]","4900 [3300–7000]","5000 [3400–7100]","5500 [3800–7900]","5300 [3700–7800]","5100 [3700–7600]","5000 [3600–7300]","4900 [3600–7100]","4600 [3500–6700]"
"Comoros","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]"
"Congo","7700 [5600–11 000]","7600 [5800–10 000]","7400 [5800–9600]","7100 [5700–9000]","6900 [5600–8400]","6700 [5500–8100]","6500 [5500–7900]","6400 [5400–7600]","6000 [5100–7200]","5800 [4900–6900]","5400 [4500–6400]","5100 [4200–6200]","5100 [4300–6100]","4900 [4100–5900]","5500 [4600–6500]","6200 [5300–7300]","6100 [5200–7300]","6400 [5400–7600]","6700 [5600–7900]","6600 [5500–7900]","6600 [5500–8000]","6500 [5300–7900]","6100 [5000–7500]"
"Cook Islands","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Costa Rica","<200 [<200–<500]","<200 [<200–<500]","<200 [<200–<500]","<200 [<200–<500]","<200 [<200–<500]","<500 [<200–<500]","<500 [<200–<500]","<500 [<200–<500]","<500 [<200–<500]","<200 [<200–<500]","<200 [<100–<200]","<200 [<100–<200]","<200 [<200–<200]","<500 [<200–<500]","<200 [<200–<500]","<200 [<200–<500]","<200 [<200–<200]","<200 [<200–<200]","<200 [<200–<200]","<200 [<200–<200]","<200 [<200–<200]","<200 [<200–<200]","<200 [<200–<200]"
"Croatia","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]"
"Cuba","<500 [<500–600]","<500 [<500–540]","<500 [<200–<500]","<500 [<200–<500]","<500 [<200–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<200–<500]","<500 [<200–<500]","<500 [<200–<500]","<500 [<200–<500]","<500 [<200–<500]","<200 [<200–<500]","<200 [<200–<500]","<200 [<100–<200]","<200 [<100–<200]","<200 [<100–<200]","<200 [<200–<200]","<200 [<200–<200]"
"Cyprus","No data","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]"
