Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7,Emission / Removal / Bunker,Gas,State,Economic Activity,Product,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Industrial Product and Process Use,Chemical Industry,Carbide Production,Calcium carbide,-,-,,Emissions,CO2e (t) GTP-AR2,Rajasthan,Industry,-,67828.75,93634.75,105649.5,26787.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Chemical Industry,Carbide Production,Calcium carbide,-,-,,Emissions,CO2e (t) GTP-AR5,Rajasthan,Industry,-,67828.75,93634.75,105649.5,26787.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Chemical Industry,Carbide Production,Calcium carbide,-,-,,Emissions,CO2e (t) GWP-AR2,Rajasthan,Industry,-,67828.75,93634.75,105649.5,26787.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Chemical Industry,Carbide Production,Calcium carbide,-,-,,Emissions,CO2e (t) GWP-AR5,Rajasthan,Industry,-,67828.75,93634.75,105649.5,26787.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Chemical Industry,Carbide Production,Calcium carbide,-,-,,Emissions,N2O (t),Rajasthan,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Chemical Industry,Carbon Black,-,-,-,,Emissions,CH4 (t),Gujarat,Industry,-,6516.11,6915.21,7085.08,6410.46,6778.7,7158.29,7161.15,6619.83,6474.33,6937.84,7390.81
Industrial Product and Process Use,Chemical Industry,Carbon Black,-,-,-,,Emissions,CO2 (t),Gujarat,Industry,-,284536.64,301964.19,309382.02,279923.2,296003.04,312578.66,312703.65,289066.05,282712.52,302952.18,322732.04
Industrial Product and Process Use,Chemical Industry,Carbon Black,-,-,-,,Emissions,CO2e (t) GTP-AR2,Gujarat,Industry,-,317117.16,336540.23,344807.44,311975.48,329896.52,348370.12,348509.42,322165.21,315084.18,337641.36,359686.09
Industrial Product and Process Use,Chemical Industry,Carbon Black,-,-,-,,Emissions,CO2e (t) GTP-AR5,Gujarat,Industry,-,310601.07,329625.02,337722.36,305565.02,323117.83,341211.81,341348.27,315545.39,308609.87,330703.53,352295.27
Industrial Product and Process Use,Chemical Industry,Carbon Black,-,-,-,,Emissions,CO2e (t) GWP-AR2,Gujarat,Industry,-,421374.88,447183.6,458168.79,414542.76,438355.65,462902.75,463087.85,428082.54,418673.51,448646.74,477939.06
