Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7,Emission / Removal / Bunker,Gas,State,Economic Activity,Product,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Energy,Fuel Combustion Emissions,Transport,Road,,Auto LPG ,,Emissions,CO2e (t) GWP-AR2,Gujarat,,,16125.87,21806.28,30481.4,30997.91,33494.11,29758.47,23122.89,17803.82,13095.52,8567.84,7041.48
Energy,Fuel Combustion Emissions,Transport,Road,,Auto LPG ,,Emissions,CO2e (t) GWP-AR2,Haryana,,,906.85,1085.89,1378.63,1308.69,1255.31,836.22,548.6,414.14,300.11,201.78,179.56
Energy,Fuel Combustion Emissions,Transport,Road,,Auto LPG ,,Emissions,CO2e (t) GWP-AR2,Himachal Pradesh,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Energy,Fuel Combustion Emissions,Transport,Road,,Auto LPG ,,Emissions,CO2e (t) GWP-AR2,Jammu & Kashmir,,,0.0,0.0,0.0,0.0,13.72,1360.11,2438.53,2714.32,2104.38,1340.35,1189.99
Energy,Fuel Combustion Emissions,Transport,Road,,Auto LPG ,,Emissions,CO2e (t) GWP-AR2,Jharkhand,,,0.0,0.0,0.0,10.63,41.23,134.66,254.57,309.97,256.54,144.04,174.71
Energy,Fuel Combustion Emissions,Transport,Road,,Auto LPG ,,Emissions,CO2e (t) GWP-AR2,Karnataka,,,76812.1,140598.55,191661.54,187443.69,189211.44,181467.12,183189.83,190793.59,199815.36,191517.07,186842.51
Energy,Fuel Combustion Emissions,Transport,Road,,Auto LPG ,,Emissions,CO2e (t) GWP-AR2,Kerala,,,4062.29,15077.72,33039.29,34168.13,43037.62,40521.53,36331.21,33944.01,28641.95,22087.25,19979.09
Energy,Fuel Combustion Emissions,Transport,Road,,Auto LPG ,,Emissions,CO2e (t) GWP-AR2,Lakshadweep,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Energy,Fuel Combustion Emissions,Transport,Road,,Auto LPG ,,Emissions,CO2e (t) GWP-AR2,Madhya Pradesh,,,2963.72,8293.66,14216.01,12418.35,13729.56,13266.0,11537.33,13684.21,11977.05,7881.12,7947.99
Energy,Fuel Combustion Emissions,Transport,Road,,Auto LPG ,,Emissions,CO2e (t) GWP-AR2,Maharashtra,,,52573.82,89414.35,116193.88,101668.08,94587.92,82796.07,68502.16,56593.2,43901.64,30951.88,25561.97
Energy,Fuel Combustion Emissions,Transport,Road,,Auto LPG ,,Emissions,CO2e (t) GWP-AR2,Manipur,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Energy,Fuel Combustion Emissions,Transport,Road,,Auto LPG ,,Emissions,CO2e (t) GWP-AR2,Meghalaya,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Energy,Fuel Combustion Emissions,Transport,Road,,Auto LPG ,,Emissions,CO2e (t) GWP-AR2,Mizoram,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Energy,Fuel Combustion Emissions,Transport,Road,,Auto LPG ,,Emissions,CO2e (t) GWP-AR2,Nagaland,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Energy,Fuel Combustion Emissions,Transport,Road,,Auto LPG ,,Emissions,CO2e (t) GWP-AR2,Odisha,,,0.0,0.0,33.53,200.14,620.34,755.33,745.35,736.09,548.24,414.23,445.17
Energy,Fuel Combustion Emissions,Transport,Road,,Auto LPG ,,Emissions,CO2e (t) GWP-AR2,Puducherry,,,0.0,0.0,0.0,0.0,0.0,111.32,496.77,713.75,600.63,339.49,261.57
Energy,Fuel Combustion Emissions,Transport,Road,,Auto LPG ,,Emissions,CO2e (t) GWP-AR2,Punjab,,,0.0,218.44,1109.77,3865.98,9954.35,10824.27,9894.57,9735.03,8189.86,5871.51,6129.64
Energy,Fuel Combustion Emissions,Transport,Road,,Auto LPG ,,Emissions,CO2e (t) GWP-AR2,Rajasthan,,,2862.76,10501.67,19123.01,18319.87,26598.47,26942.93,26280.76,25607.95,24597.68,20349.01,23886.13
Energy,Fuel Combustion Emissions,Transport,Road,,Auto LPG ,,Emissions,CO2e (t) GWP-AR2,Sikkim,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Energy,Fuel Combustion Emissions,Transport,Road,,Auto LPG ,,Emissions,CO2e (t) GWP-AR2,Tamil Nadu,,,11646.87,23878.99,55645.11,65847.3,86721.8,102669.17,119229.31,122451.78,105791.73,94917.21,101509.7
Energy,Fuel Combustion Emissions,Transport,Road,,Auto LPG ,,Emissions,CO2e (t) GWP-AR2,Telangana,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45348.28,59835.65
Energy,Fuel Combustion Emissions,Transport,Road,,Auto LPG ,,Emissions,CO2e (t) GWP-AR2,Tripura,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Energy,Fuel Combustion Emissions,Transport,Road,,Auto LPG ,,Emissions,CO2e (t) GWP-AR2,Uttar Pradesh,,,322.2,1727.75,3974.23,5012.01,15216.68,19996.39,20788.03,22284.73,17849.2,13339.82,15387.14
Energy,Fuel Combustion Emissions,Transport,Road,,Auto LPG ,,Emissions,CO2e (t) GWP-AR2,Uttarakhand,,,0.0,0.0,0.0,26.85,912.67,1636.1,2148.73,2167.7,1487.82,993.2,1210.64
Energy,Fuel Combustion Emissions,Transport,Road,,Auto LPG ,,Emissions,CO2e (t) GWP-AR2,West Bengal,,,3137.86,6177.67,8713.99,8762.47,23821.53,50024.39,55036.31,47780.86,43700.77,36339.68,36069.15
Energy,Fuel Combustion Emissions,Transport,Road,,LDO,,Emissions,CO2e (t) GWP-AR2,Andhra Pradesh,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
