Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7,Emission / Removal / Bunker,Gas,State,Economic Activity,Product,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Industrial Product and Process Use,Metal Industry,Ferroalloys Production,ferro-chrome,-,-,,Emissions,CO2e (t) GWP-AR2,Kerala,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Metal Industry,Ferroalloys Production,-,-,-,,Emissions,CO2e (t) GWP-AR2,Madhya Pradesh,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Metal Industry,Ferroalloys Production,ferro-chrome,-,-,,Emissions,CO2e (t) GWP-AR2,Madhya Pradesh,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Metal Industry,Ferroalloys Production,ferro-manganese,-,-,,Emissions,CO2e (t) GWP-AR2,Madhya Pradesh,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Metal Industry,Ferroalloys Production,ferro-silicon,-,-,,Emissions,CO2e (t) GWP-AR2,Madhya Pradesh,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Metal Industry,Ferroalloys Production,-,-,-,,Emissions,CO2e (t) GWP-AR2,Maharashtra,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Metal Industry,Ferroalloys Production,ferro-chrome,-,-,,Emissions,CO2e (t) GWP-AR2,Maharashtra,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Metal Industry,Ferroalloys Production,ferro-manganese,-,-,,Emissions,CO2e (t) GWP-AR2,Maharashtra,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Metal Industry,Ferroalloys Production,ferro-silicon,-,-,,Emissions,CO2e (t) GWP-AR2,Maharashtra,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Metal Industry,Ferroalloys Production,-,-,-,,Emissions,CO2e (t) GWP-AR2,Meghalaya,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Metal Industry,Ferroalloys Production,ferro-chrome,-,-,,Emissions,CO2e (t) GWP-AR2,Meghalaya,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Metal Industry,Ferroalloys Production,ferro-manganese,-,-,,Emissions,CO2e (t) GWP-AR2,Meghalaya,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Metal Industry,Ferroalloys Production,ferro-silicon,-,-,,Emissions,CO2e (t) GWP-AR2,Meghalaya,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Metal Industry,Ferroalloys Production,-,-,-,,Emissions,CO2e (t) GWP-AR2,Odisha,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
